,Ni
17019,"[16331, 16332, 16333, 16558, 16559, 16560, 16561, 16562, 16786, 16787, 16788, 16789, 16791, 16792, 17016, 17017, 17018, 17019, 17020, 17021, 17022, 17247, 17248, 17249, 17250, 17251, 17252, 17253, 17480, 17481, 17482, 17483, 17484, 17715, 17716, 17717]"
16928,"[16246, 16248, 16471, 16472, 16696, 16697, 16699, 16700, 16701, 16702, 16928, 16929, 16930, 16931, 17156, 17158, 17159, 17160, 17161, 17390]"
21613,"[20887, 21129, 21130, 21132, 21369, 21370, 21371, 21372, 21373, 21374, 21375, 21610, 21612, 21613, 21614, 21615, 21616, 21851, 21852, 21853, 21854, 21855, 21856, 21857, 22093, 22094, 22095, 22096, 22097, 22335, 22336, 22337]"
22095,"[21371, 21372, 21373, 21612, 21613, 21614, 21615, 21851, 21852, 21853, 21854, 21855, 21856, 21857, 22092, 22093, 22094, 22095, 22096, 22097, 22098, 22333, 22334, 22335, 22336, 22337, 22338, 22575, 22576, 22577, 22578, 22812, 22813, 22814]"
5080,"[4747, 4748, 4749, 4863, 4864, 4866, 4971, 4972, 4974, 4975, 4976, 5077, 5078, 5080, 5082, 5083, 5183, 5185, 5186, 5187, 5189, 5290, 5291, 5292, 5294, 5396]"
21856,"[21132, 21133, 21372, 21373, 21374, 21375, 21376, 21612, 21613, 21614, 21615, 21616, 21617, 21618, 21853, 21854, 21855, 21856, 21857, 21858, 21859, 22094, 22095, 22096, 22097, 22098, 22099, 22100, 22336, 22337, 22338, 22577, 22578]"
5188,"[4866, 4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5185, 5186, 5187, 5189, 5190, 5191, 5291, 5292, 5294, 5295, 5297, 5399, 5400, 5502, 5503, 5504]"
5294,"[4974, 4975, 4976, 5080, 5082, 5083, 5084, 5185, 5186, 5187, 5189, 5190, 5191, 5291, 5292, 5294, 5295, 5297, 5396, 5399, 5400, 5501, 5502, 5503, 5504, 5505]"
21616,"[20889, 20890, 20891, 21132, 21133, 21135, 21372, 21373, 21374, 21375, 21376, 21377, 21613, 21614, 21615, 21616, 21617, 21618, 21619, 21854, 21855, 21856, 21857, 21858, 21859, 21860, 22096, 22097, 22098, 22099, 22100, 22338]"
16698,"[16024, 16025, 16026, 16244, 16246, 16248, 16467, 16468, 16471, 16472, 16695, 16696, 16697, 16699, 16700, 16701, 16924, 16928, 16929, 16930, 17156, 17158, 17159]"
5189,"[4974, 4975, 4976, 4977, 5080, 5082, 5083, 5084, 5085, 5186, 5187, 5189, 5190, 5191, 5292, 5294, 5295, 5297, 5298, 5399, 5400, 5503, 5504, 5505]"
5296,"[4976, 4977, 5082, 5083, 5084, 5085, 5187, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5503, 5504, 5505, 5607, 5608]"
21615,"[20889, 20890, 21130, 21132, 21133, 21371, 21372, 21373, 21374, 21375, 21376, 21377, 21612, 21613, 21614, 21615, 21616, 21617, 21618, 21853, 21854, 21855, 21856, 21857, 21858, 21859, 22095, 22096, 22097, 22098, 22099, 22337, 22338]"
21854,"[21129, 21130, 21370, 21371, 21372, 21373, 21374, 21610, 21612, 21613, 21614, 21615, 21616, 21851, 21852, 21853, 21854, 21855, 21856, 21857, 22092, 22093, 22094, 22095, 22096, 22097, 22098, 22334, 22335, 22336, 22337, 22338, 22575, 22576, 22577]"
16337,"[15670, 15671, 15672, 15890, 15891, 15894, 16110, 16111, 16114, 16115, 16116, 16334, 16335, 16336, 16337, 16338, 16339, 16340, 16562, 16563, 16564, 16565, 16566, 16567, 16568, 16792, 16793, 16794, 16795, 16796, 17023, 17024]"
21373,"[20642, 20644, 20887, 20889, 20890, 21129, 21130, 21132, 21133, 21370, 21371, 21372, 21373, 21374, 21375, 21376, 21612, 21613, 21614, 21615, 21616, 21617, 21853, 21854, 21855, 21856, 21857, 22095, 22096, 22097]"
52117,"[51285, 51286, 51287, 51564, 51565, 51566, 51840, 51841, 51842, 51844, 52116, 52117, 52119, 52384, 52385, 52386, 52387, 52388, 52389, 52651, 52652, 52653, 52654, 52917, 52918]"
21375,"[20644, 20645, 20646, 20889, 20890, 20891, 20892, 21130, 21132, 21133, 21135, 21136, 21372, 21373, 21374, 21375, 21376, 21377, 21613, 21614, 21615, 21616, 21617, 21618, 21619, 21855, 21856, 21857, 21858, 21859, 22097, 22098, 22099]"
5187,"[4866, 4972, 4974, 4975, 4976, 5078, 5080, 5082, 5083, 5084, 5185, 5186, 5187, 5189, 5190, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5400, 5501, 5502, 5503]"
16927,"[16246, 16468, 16471, 16472, 16695, 16696, 16697, 16699, 16700, 16701, 16924, 16928, 16929, 16930, 17156, 17158, 17159, 17160, 17390]"
5504,"[5189, 5190, 5294, 5295, 5297, 5399, 5400, 5403, 5501, 5502, 5503, 5504, 5505, 5603, 5607, 5608, 5704, 5706, 5707, 5708, 5806]"
5292,"[4972, 4974, 5078, 5080, 5082, 5183, 5185, 5186, 5187, 5189, 5289, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5400, 5499, 5500, 5501, 5502, 5503, 5602, 5603]"
21853,"[21129, 21130, 21369, 21370, 21371, 21372, 21373, 21609, 21610, 21612, 21613, 21614, 21615, 21850, 21851, 21852, 21853, 21854, 21855, 21856, 22091, 22092, 22093, 22094, 22095, 22096, 22097, 22333, 22334, 22335, 22336, 22337, 22575, 22576]"
16245,"[15582, 15583, 15804, 16021, 16022, 16024, 16025, 16026, 16242, 16244, 16246, 16248, 16467, 16468, 16471, 16472, 16695, 16696, 16697, 16699]"
16926,"[16244, 16246, 16467, 16468, 16471, 16695, 16696, 16697, 16699, 16700, 16923, 16924, 16928, 16929, 17153, 17156, 17158, 17159, 17385]"
22094,"[21370, 21371, 21372, 21610, 21612, 21613, 21614, 21850, 21851, 21852, 21853, 21854, 21855, 21856, 22091, 22092, 22093, 22094, 22095, 22096, 22097, 22332, 22333, 22334, 22335, 22336, 22337, 22338, 22573, 22575, 22576, 22577, 22812, 22813]"
5401,"[5083, 5084, 5085, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5502, 5503, 5504, 5505, 5607, 5608, 5706, 5707, 5708]"
16244,"[15580, 15582, 15800, 15804, 16020, 16021, 16022, 16024, 16025, 16026, 16241, 16242, 16244, 16246, 16465, 16467, 16468, 16471, 16695, 16696, 16697, 16924]"
5293,"[4974, 4975, 5080, 5082, 5083, 5185, 5186, 5187, 5189, 5190, 5290, 5291, 5292, 5294, 5295, 5396, 5399, 5400, 5500, 5501, 5502, 5503, 5504, 5603]"
22096,"[21372, 21373, 21374, 21612, 21613, 21614, 21615, 21616, 21852, 21853, 21854, 21855, 21856, 21857, 21858, 22093, 22094, 22095, 22096, 22097, 22098, 22099, 22334, 22335, 22336, 22337, 22338, 22575, 22576, 22577, 22578, 22813, 22814]"
5505,"[5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5502, 5503, 5504, 5505, 5607, 5608, 5706, 5707, 5708, 5709, 5806, 5808]"
5297,"[4977, 5083, 5084, 5085, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5504, 5505, 5607, 5608]"
16794,"[16114, 16335, 16336, 16337, 16338, 16339, 16562, 16563, 16564, 16565, 16566, 16567, 16568, 16791, 16792, 16793, 16794, 16795, 16796, 16797, 17021, 17022, 17023, 17024, 17026, 17027, 17253, 17254, 17255, 17256, 17257, 17486]"
5191,"[4976, 4977, 5082, 5083, 5084, 5085, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5400, 5403, 5505]"
15149,"[14469, 14470, 14696, 14697, 14699, 14921, 14923, 14924, 14927, 15147, 15148, 15150, 15151, 15152, 15369, 15372, 15373, 15374, 15375, 15592, 15595, 15596, 15814, 15815, 15816]"
15595,"[14924, 15148, 15150, 15151, 15152, 15372, 15373, 15374, 15375, 15376, 15592, 15595, 15596, 15597, 15598, 15813, 15814, 15815, 15816, 15818, 16035, 16036, 16037, 16038, 16039, 16257, 16259]"
5402,"[5084, 5085, 5189, 5190, 5191, 5294, 5295, 5297, 5298, 5399, 5400, 5403, 5503, 5504, 5505, 5607, 5608, 5707, 5708, 5709]"
4450,"[4093, 4094, 4213, 4214, 4329, 4330, 4333, 4335, 4447, 4450, 4452, 4453, 4566, 4567, 4569, 4570, 4571, 4572, 4686, 4687, 4688, 4689, 4804, 4805, 4806]"
16929,"[16248, 16249, 16471, 16472, 16474, 16697, 16699, 16700, 16701, 16702, 16703, 16928, 16929, 16930, 16931, 16932, 17156, 17158, 17159, 17160, 17161, 17162, 17390]"
44436,"[43571, 44148, 44722, 44725, 44727, 45013, 45016, 45303]"
16023,"[15358, 15359, 15579, 15580, 15582, 15583, 15799, 15800, 15804, 16020, 16021, 16022, 16024, 16025, 16026, 16241, 16242, 16244, 16246, 16467, 16468, 16695, 16696, 16697]"
10628,"[10288, 10289, 10291, 10455, 10460, 10461, 10625, 10626, 10628, 10629, 10630, 10631, 10800, 10803, 10804, 10805, 10806, 10988, 10990, 10992, 11190, 11191, 11192]"
16472,"[16025, 16026, 16028, 16029, 16246, 16248, 16249, 16250, 16471, 16472, 16474, 16475, 16697, 16699, 16700, 16701, 16702, 16703, 16928, 16929, 16930, 16931, 17158, 17159, 17160]"
51843,"[51004, 51006, 51284, 51285, 51286, 51287, 51288, 51562, 51564, 51565, 51566, 51568, 51840, 51841, 51842, 51844, 52116, 52117, 52119, 52385, 52386, 52387, 52388, 52389, 52652, 52653, 52654]"
16332,"[15665, 15666, 15667, 15885, 15887, 15888, 15889, 16105, 16106, 16107, 16108, 16109, 16110, 16111, 16329, 16330, 16331, 16332, 16333, 16334, 16335, 16557, 16558, 16559, 16560, 16561, 16562, 16563, 16787, 16788, 16789, 16791, 17018, 17019, 17020]"
16557,"[15883, 15885, 16103, 16104, 16105, 16106, 16107, 16327, 16328, 16329, 16330, 16331, 16332, 16554, 16555, 16556, 16557, 16558, 16559, 16560, 16783, 16784, 16785, 16786, 16787, 16788, 16789, 17014, 17015, 17016, 17017, 17018, 17246, 17247, 17248]"
10990,"[10626, 10628, 10629, 10630, 10800, 10803, 10804, 10805, 10806, 10988, 10990, 10992, 10993, 11188, 11189, 11190, 11191, 11192, 11194, 11393, 11394, 11395, 11396, 11397, 11600, 11601, 11602]"
15803,"[15136, 15358, 15359, 15579, 15580, 15582, 15583, 15800, 15804, 16021, 16022, 16024, 16025, 16026, 16244, 16246, 16468]"
16790,"[16108, 16109, 16110, 16331, 16332, 16333, 16334, 16335, 16558, 16559, 16560, 16561, 16562, 16563, 16564, 16787, 16788, 16789, 16791, 16792, 16793, 17017, 17018, 17019, 17020, 17021, 17022, 17023, 17249, 17250, 17251, 17252, 17253, 17482, 17483, 17484]"
16560,"[15887, 15888, 16106, 16107, 16108, 16109, 16110, 16329, 16330, 16331, 16332, 16333, 16334, 16335, 16557, 16558, 16559, 16560, 16561, 16562, 16563, 16786, 16787, 16788, 16789, 16791, 16792, 17017, 17018, 17019, 17020, 17021, 17249, 17250, 17251]"
47260,"[46375, 46671, 46964, 46967, 47258, 47260, 47263, 47555, 47556, 47852]"
16026,"[15363, 15582, 15583, 15804, 16024, 16025, 16026, 16028, 16029, 16244, 16246, 16248, 16249, 16250, 16471, 16472, 16699, 16700]"
44725,"[44148, 44722, 44725, 44727, 45011, 45013, 45016, 45303, 45592]"
16024,"[15359, 15580, 15582, 15583, 15800, 15804, 16021, 16022, 16024, 16025, 16026, 16242, 16244, 16246, 16248, 16467, 16468, 16471, 16696, 16697]"
16329,"[15663, 15664, 15882, 15883, 15885, 16102, 16103, 16104, 16105, 16106, 16107, 16108, 16327, 16328, 16329, 16330, 16331, 16332, 16554, 16555, 16556, 16557, 16558, 16559, 16560, 16784, 16785, 16786, 16787, 16788, 17015, 17016, 17017]"
15804,"[15139, 15359, 15363, 15580, 15582, 15583, 15804, 16022, 16024, 16025, 16026, 16028, 16244, 16246, 16248, 16471]"
11191,"[10628, 10629, 10803, 10804, 10805, 10988, 10990, 10992, 10993, 11188, 11189, 11190, 11191, 11192, 11194, 11392, 11393, 11394, 11395, 11396, 11397, 11398, 11599, 11600, 11601, 11602, 11603, 11807, 11808, 11809]"
16561,"[15887, 15888, 15889, 16107, 16108, 16109, 16110, 16111, 16330, 16331, 16332, 16333, 16334, 16335, 16336, 16558, 16559, 16560, 16561, 16562, 16563, 16564, 16787, 16788, 16789, 16791, 16792, 16793, 17018, 17019, 17020, 17021, 17022, 17250, 17251, 17252]"
52386,"[51564, 51565, 51840, 51841, 51842, 51844, 52113, 52116, 52117, 52119, 52383, 52384, 52385, 52386, 52387, 52388, 52389, 52649, 52650, 52651, 52652, 52653, 52654, 52914, 52917, 52918, 53178, 53179, 53180]"
12986,"[12311, 12312, 12313, 12533, 12534, 12535, 12536, 12537, 12758, 12759, 12760, 12761, 12762, 12983, 12984, 12985, 12986, 12987, 12988, 13216, 13217, 13219, 13444]"
11331,"[11130, 11329, 11330, 11533, 11534, 11739, 11740, 11948]"
16562,"[15888, 15889, 15890, 16108, 16109, 16110, 16111, 16331, 16332, 16333, 16334, 16335, 16336, 16337, 16559, 16560, 16561, 16562, 16563, 16564, 16565, 16788, 16789, 16791, 16792, 16793, 16794, 17019, 17020, 17021, 17022, 17023, 17251, 17252, 17253]"
22335,"[21612, 21613, 21851, 21852, 21853, 21854, 21855, 22091, 22092, 22093, 22094, 22095, 22096, 22097, 22332, 22333, 22334, 22335, 22336, 22337, 22338, 22572, 22573, 22575, 22576, 22577, 22578, 22810, 22812, 22813, 22814, 23042, 23043, 23044]"
46140,"[45262, 45264, 45551, 45552, 45553, 45554, 45843, 45844, 45845, 45846, 45847, 46137, 46139, 46140, 46141, 46142, 46143, 46433, 46434, 46435, 46436, 46437, 46730, 46731, 46732, 46733, 46734, 47026, 47027, 47028]"
45848,"[44975, 44976, 44977, 45264, 45265, 45266, 45552, 45553, 45554, 45558, 45845, 45846, 45847, 45851, 46139, 46140, 46141, 46142, 46143, 46145, 46436, 46437, 46733, 46734]"
17475,"[16781, 16782, 16783, 17010, 17012, 17014, 17240, 17241, 17243, 17245, 17246, 17472, 17473, 17474, 17475, 17476, 17478, 17706, 17707, 17708, 17710, 17711, 17712, 17946, 17947, 17948, 17949, 17950, 18188, 18189]"
6721,"[6527, 6528, 6529, 6530, 6531, 6622, 6624, 6625, 6626, 6627, 6628, 6721, 6723, 6815, 6817, 6818, 6912, 6914, 6915, 7013]"
13299,"[12617, 12618, 12619, 12842, 12843, 12845, 13066, 13069, 13070, 13071, 13072, 13296, 13297, 13299, 13300, 13301, 13302, 13526, 13527, 13528, 13530, 13755, 13756, 13757, 13758, 13759, 13984, 13985]"
41267,"[40684, 40686, 40972, 40974, 40975, 40976, 40977, 40978, 41264, 41265, 41266, 41267, 41269, 41270, 41556, 41557, 41558, 41559, 41560, 41562, 41849, 41850]"
16338,"[15671, 15672, 15891, 15894, 15895, 16111, 16114, 16115, 16116, 16117, 16335, 16336, 16337, 16338, 16339, 16340, 16341, 16563, 16564, 16565, 16566, 16567, 16568, 16569, 16793, 16794, 16795, 16796, 16797, 17024, 17026]"
16334,"[15667, 15668, 15669, 15887, 15888, 15889, 15890, 15891, 16107, 16108, 16109, 16110, 16111, 16331, 16332, 16333, 16334, 16335, 16336, 16337, 16559, 16560, 16561, 16562, 16563, 16564, 16565, 16789, 16791, 16792, 16793, 17020, 17021, 17022]"
52116,"[51284, 51285, 51286, 51562, 51564, 51565, 51566, 51839, 51840, 51841, 51842, 51844, 52113, 52116, 52117, 52119, 52383, 52384, 52385, 52386, 52387, 52388, 52389, 52650, 52651, 52652, 52653, 52654, 52917]"
48242,"[47365, 47366, 47660, 47661, 47662, 47952, 47953, 47954, 47955, 47956, 47957, 47958, 48240, 48241, 48242, 48243, 48244, 48245, 48526, 48527, 48528, 48529, 48807, 48809, 48810, 49088]"
45846,"[44974, 44975, 45262, 45264, 45265, 45550, 45551, 45552, 45553, 45554, 45843, 45844, 45845, 45846, 45847, 46137, 46139, 46140, 46141, 46142, 46143, 46434, 46435, 46436, 46437, 46731, 46732, 46733]"
4571,"[4214, 4216, 4333, 4335, 4450, 4452, 4453, 4455, 4569, 4570, 4571, 4572, 4573, 4574, 4687, 4688, 4689, 4693, 4805, 4806, 4807, 4808, 4809, 4914, 4915]"
45553,"[44685, 44974, 44975, 44976, 45260, 45262, 45264, 45265, 45266, 45550, 45551, 45552, 45553, 45554, 45843, 45844, 45845, 45846, 45847, 46139, 46140, 46141, 46142, 46435, 46436, 46437]"
18181,"[17466, 17467, 17468, 17699, 17700, 17701, 17702, 17937, 17939, 17940, 17941, 17943, 18179, 18180, 18181, 18183, 18184, 18420, 18421, 18422, 18423, 18424, 18425, 18426, 18666, 18667, 18668, 18669, 18670, 18911, 18912]"
16785,"[16103, 16104, 16105, 16327, 16328, 16329, 16330, 16553, 16554, 16555, 16556, 16557, 16558, 16559, 16782, 16783, 16784, 16785, 16786, 16787, 16788, 17012, 17014, 17015, 17016, 17017, 17018, 17245, 17246, 17247, 17248, 17478, 17479]"
50698,"[50130, 50411, 50412, 50413, 50414, 50416, 50695, 50696, 50697, 50698, 50699, 50701, 50979, 50980, 50981, 50982, 50983, 50984, 51260, 51261, 51262, 51263, 51264, 51540, 51541]"
12233,"[11596, 11597, 11598, 11802, 11803, 11804, 11805, 11806, 12012, 12013, 12014, 12015, 12016, 12017, 12018, 12230, 12231, 12233, 12234, 12235, 12236, 12453, 12457, 12458, 12459, 12679, 12680, 12908]"
15814,"[15147, 15148, 15369, 15372, 15373, 15590, 15592, 15595, 15596, 15812, 15813, 15814, 15815, 15816, 16034, 16035, 16036, 16037, 16038, 16254, 16255, 16257, 16481]"
22575,"[21852, 21853, 21854, 22092, 22093, 22094, 22095, 22096, 22332, 22333, 22334, 22335, 22336, 22337, 22338, 22572, 22573, 22575, 22576, 22577, 22578, 22810, 22812, 22813, 22814, 23041, 23042, 23043, 23044, 23268, 23269]"
17155,"[16467, 16468, 16695, 16696, 16697, 16922, 16923, 16924, 16928, 17152, 17153, 17156, 17158, 17383, 17385, 17616]"
16107,"[15443, 15444, 15445, 15663, 15664, 15665, 15666, 15667, 15883, 15885, 15887, 15888, 15889, 16104, 16105, 16106, 16107, 16108, 16109, 16110, 16328, 16329, 16330, 16331, 16332, 16333, 16334, 16557, 16558, 16559, 16560, 16561, 16787, 16788, 16789]"
16789,"[16107, 16108, 16109, 16330, 16331, 16332, 16333, 16334, 16557, 16558, 16559, 16560, 16561, 16562, 16563, 16786, 16787, 16788, 16789, 16791, 16792, 17016, 17017, 17018, 17019, 17020, 17021, 17022, 17248, 17249, 17250, 17251, 17252, 17481, 17482, 17483]"
16328,"[15661, 15663, 15881, 15882, 15883, 15885, 16101, 16102, 16103, 16104, 16105, 16106, 16107, 16325, 16327, 16328, 16329, 16330, 16331, 16553, 16554, 16555, 16556, 16557, 16558, 16559, 16783, 16784, 16785, 16786, 16787, 17014, 17015, 17016]"
48243,"[47365, 47366, 47367, 47660, 47661, 47662, 47663, 47953, 47954, 47955, 47956, 47957, 47958, 47959, 48240, 48241, 48242, 48243, 48244, 48245, 48246, 48526, 48527, 48528, 48529, 48530, 48807, 48809, 48810]"
16556,"[15882, 15883, 16102, 16103, 16104, 16105, 16106, 16325, 16327, 16328, 16329, 16330, 16331, 16553, 16554, 16555, 16556, 16557, 16558, 16559, 16782, 16783, 16784, 16785, 16786, 16787, 16788, 17014, 17015, 17016, 17017, 17245, 17246, 17247]"
18193,"[17478, 17479, 17480, 17711, 17712, 17713, 17714, 17715, 17949, 17950, 17952, 17953, 17954, 17955, 18192, 18193, 18194, 18196, 18432, 18433, 18434, 18435, 18436, 18437, 18438, 18678, 18679, 18680, 18681, 18923, 18924]"
18194,"[17479, 17480, 17481, 17712, 17713, 17714, 17715, 17716, 17950, 17952, 17953, 17954, 17955, 17956, 18192, 18193, 18194, 18196, 18197, 18433, 18434, 18435, 18436, 18437, 18438, 18439, 18679, 18680, 18681, 18683, 18924, 18926]"
17468,"[16774, 16776, 17003, 17004, 17006, 17007, 17233, 17234, 17235, 17236, 17238, 17465, 17466, 17467, 17468, 17469, 17470, 17471, 17699, 17700, 17701, 17702, 17705, 17939, 17940, 17941, 17943, 18181, 18183]"
41558,"[40684, 40972, 40974, 40975, 40976, 41263, 41264, 41265, 41266, 41267, 41269, 41556, 41557, 41558, 41559, 41560, 41848, 41849, 41850, 42141]"
23077,"[22369, 22370, 22607, 22608, 22843, 22844, 22845, 23074, 23075, 23076, 23300, 23301, 23523, 23524, 23525]"
46141,"[45264, 45265, 45552, 45553, 45554, 45844, 45845, 45846, 45847, 46139, 46140, 46141, 46142, 46143, 46434, 46435, 46436, 46437, 46731, 46732, 46733, 46734, 47027, 47028, 47029]"
50697,"[50130, 50410, 50411, 50412, 50413, 50414, 50416, 50694, 50695, 50696, 50697, 50698, 50699, 50977, 50979, 50980, 50981, 50982, 50983, 51259, 51260, 51261, 51262, 51263, 51539, 51540, 51541]"
11744,"[11336, 11539, 11541, 11744, 11747, 11948, 11950, 11952, 11953, 11954, 12160, 12161, 12163, 12164, 12379, 12380]"
4687,"[4330, 4447, 4450, 4565, 4566, 4567, 4569, 4570, 4571, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4807, 4910, 4911, 4912, 4913, 4914, 5018, 5019, 5020]"
22846,"[22128, 22129, 22367, 22369, 22370, 22371, 22606, 22607, 22608, 22843, 22844, 22845, 23074, 23075, 23076, 23301, 23524, 23525]"
16335,"[15668, 15669, 15670, 15888, 15889, 15890, 15891, 16108, 16109, 16110, 16111, 16114, 16332, 16333, 16334, 16335, 16336, 16337, 16338, 16560, 16561, 16562, 16563, 16564, 16565, 16566, 16791, 16792, 16793, 16794, 17021, 17022, 17023]"
11393,"[10800, 10988, 10990, 11186, 11187, 11188, 11189, 11190, 11191, 11192, 11390, 11391, 11392, 11393, 11394, 11395, 11396, 11596, 11597, 11598, 11599, 11600, 11601, 11602, 11804, 11805, 11806, 11807, 11808, 12016, 12017, 12018]"
17943,"[17238, 17468, 17469, 17470, 17471, 17472, 17701, 17702, 17705, 17706, 17707, 17940, 17941, 17943, 17945, 17946, 18181, 18183, 18184, 18185, 18186, 18187, 18424, 18425, 18426, 18427, 18428, 18670, 18671, 18672]"
18185,"[17470, 17471, 17472, 17705, 17706, 17707, 17941, 17943, 17945, 17946, 17947, 18183, 18184, 18185, 18186, 18187, 18188, 18424, 18425, 18426, 18427, 18428, 18429, 18430, 18670, 18671, 18672, 18673, 18674, 18915, 18916, 18917]"
41203,"[40330, 40331, 40332, 40619, 40620, 40911, 40912, 41202, 41203, 41204, 41206, 41493, 41494, 41496, 41497, 41498, 41785, 41786, 41788, 41789, 42079, 42080]"
4691,"[4335, 4452, 4453, 4455, 4569, 4570, 4571, 4572, 4573, 4574, 4688, 4689, 4693, 4805, 4806, 4807, 4808, 4809, 4811, 4914, 4915, 4917, 5023, 5024]"
16111,"[15447, 15448, 15449, 15667, 15668, 15669, 15670, 15671, 15887, 15888, 15889, 15890, 15891, 16108, 16109, 16110, 16111, 16114, 16332, 16333, 16334, 16335, 16336, 16337, 16338, 16561, 16562, 16563, 16564, 16565, 16791, 16792, 16793]"
4689,"[4333, 4450, 4452, 4453, 4567, 4569, 4570, 4571, 4572, 4573, 4686, 4687, 4688, 4689, 4803, 4804, 4805, 4806, 4807, 4808, 4809, 4912, 4913, 4914, 4915, 5020]"
11536,"[11130, 11329, 11330, 11533, 11534, 11539, 11739, 11740, 11744, 11948, 11950, 12159, 12160, 12161]"
9396,"[8933, 8934, 8935, 9087, 9088, 9089, 9090, 9091, 9240, 9242, 9243, 9244, 9394, 9396, 9546, 9547, 9548, 9550, 9551, 9552, 9704, 9859, 9860]"
4567,"[4328, 4329, 4330, 4445, 4446, 4447, 4450, 4564, 4565, 4566, 4567, 4569, 4570, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4910, 4911, 4912]"
16124,"[15460, 15462, 15680, 15683, 15684, 15900, 15901, 15902, 15904, 15906, 16121, 16123, 16124, 16125, 16126, 16127, 16345, 16346, 16347, 16349, 16350, 16351, 16574, 16575, 16576, 16577, 16578, 16804, 16806]"
41266,"[40684, 40971, 40972, 40974, 40975, 40976, 40977, 41263, 41264, 41265, 41266, 41267, 41269, 41556, 41557, 41558, 41559, 41560, 41848, 41849, 41850, 42141]"
9552,"[9091, 9244, 9247, 9396, 9400, 9401, 9550, 9551, 9552, 9553, 9554, 9704, 9705, 9707, 9708, 9862, 9863, 9864, 9865, 10022, 10023]"
17020,"[16332, 16333, 16334, 16559, 16560, 16561, 16562, 16563, 16787, 16788, 16789, 16791, 16792, 16793, 17017, 17018, 17019, 17020, 17021, 17022, 17023, 17248, 17249, 17250, 17251, 17252, 17253, 17254, 17481, 17482, 17483, 17484, 17485, 17716, 17717, 17718]"
17702,"[17004, 17006, 17234, 17235, 17236, 17238, 17465, 17466, 17467, 17468, 17469, 17470, 17471, 17699, 17700, 17701, 17702, 17705, 17939, 17940, 17941, 17943, 18180, 18181, 18183, 18184, 18423, 18424, 18425]"
34379,"[33565, 33566, 33567, 33835, 33836, 33837, 33838, 34105, 34106, 34107, 34110, 34378, 34379, 34380, 34381, 34382, 34651, 34652, 34653, 34654, 34655, 34923, 34924, 34926, 34927, 35197, 35198]"
