,Ni
3118,"[2991, 2993, 2994, 3115, 3116, 3118, 3239, 3361]"
3119,"[2993, 2994, 3116, 3118, 3239]"
3120,"[2993, 2994, 3118]"
3121,"[2994, 3118]"
3122,[]
3123,[]
3232,"[3112, 3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603]"
3233,"[3112, 3113, 3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3602, 3603, 3604]"
3234,"[2989, 3112, 3113, 3114, 3232, 3233, 3234, 3235, 3237, 3354, 3355, 3356, 3477, 3478, 3479, 3603, 3604]"
3235,"[2989, 2990, 3112, 3113, 3114, 3115, 3232, 3233, 3234, 3235, 3237, 3354, 3355, 3356, 3360, 3478, 3479, 3604]"
3236,"[2867, 2989, 2990, 2991, 3112, 3113, 3114, 3115, 3116, 3233, 3234, 3235, 3237, 3239, 3355, 3356, 3360, 3361, 3479]"
3237,"[2867, 2989, 2990, 2991, 3112, 3113, 3114, 3115, 3116, 3234, 3235, 3237, 3239, 3356, 3360, 3361]"
3238,"[2867, 2989, 2990, 2991, 2993, 3112, 3113, 3114, 3115, 3116, 3118, 3235, 3237, 3239, 3360, 3361]"
3239,"[2990, 2991, 2993, 2994, 3113, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
3240,"[2991, 2993, 2994, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
3241,"[2993, 2994, 3115, 3116, 3118, 3239, 3360, 3361]"
3242,"[2993, 2994, 3116, 3118, 3239, 3361]"
3243,"[2994, 3118]"
3244,[3118]
3245,[]
3246,[]
3353,"[3232, 3233, 3234, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603]"
3354,"[3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604]"
3355,"[3112, 3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604]"
3356,"[3112, 3113, 3232, 3233, 3234, 3235, 3237, 3354, 3355, 3356, 3477, 3478, 3479, 3602, 3603, 3604]"
3357,"[2989, 3112, 3113, 3114, 3232, 3233, 3234, 3235, 3237, 3354, 3355, 3356, 3360, 3477, 3478, 3479, 3603, 3604, 3730]"
3359,"[2989, 2990, 2991, 3112, 3113, 3114, 3115, 3116, 3234, 3235, 3237, 3239, 3356, 3360, 3361, 3479, 3730]"
3360,"[2990, 2991, 3113, 3114, 3115, 3116, 3235, 3237, 3239, 3360, 3361]"
3361,"[2991, 2993, 3114, 3115, 3116, 3118, 3237, 3239, 3360, 3361]"
3362,"[2993, 2994, 3115, 3116, 3118, 3237, 3239, 3360, 3361, 3735]"
3363,"[2993, 2994, 3116, 3118, 3239, 3360, 3361, 3735]"
3364,"[2994, 3118, 3239, 3361, 3735]"
3365,[3118]
3366,[]
3475,"[3232, 3349, 3354, 3355, 3477, 3478, 3597, 3601, 3602, 3603]"
3477,"[3232, 3233, 3234, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604]"
3478,"[3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604]"
3479,"[3112, 3232, 3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604, 3730, 3852]"
3480,"[3112, 3113, 3233, 3234, 3235, 3237, 3354, 3355, 3356, 3360, 3477, 3478, 3479, 3602, 3603, 3604, 3730, 3852, 3853]"
3599,"[3349, 3477, 3596, 3597, 3601, 3602, 3720, 3968]"
3600,"[3354, 3477, 3478, 3597, 3601, 3602, 3603, 3968]"
3602,"[3232, 3233, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604, 3972]"
3603,"[3232, 3233, 3234, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604, 3730, 3852, 3972]"
3604,"[3233, 3234, 3235, 3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604, 3730, 3852, 3853, 3972, 3974]"
3723,"[3596, 3597, 3601, 3602, 3720, 3843, 3966, 3968, 4088]"
3726,"[3354, 3355, 3477, 3478, 3479, 3601, 3602, 3603, 3604, 3852, 3972, 4093]"
3727,"[3354, 3355, 3356, 3477, 3478, 3479, 3601, 3602, 3603, 3604, 3730, 3852, 3853, 3972, 3974, 4093, 4094]"
3849,"[3477, 3478, 3601, 3602, 3603, 3604, 3852, 3968, 3972, 3974, 4093, 4094, 4213]"
3971,"[3601, 3602, 3603, 3852, 3968, 3972, 3974, 4093, 4094, 4095, 4213, 4214, 4330]"
4210,"[3968, 4087, 4088, 4093, 4207, 4209, 4213, 4326, 4327, 4328, 4329, 4330, 4445, 4446, 4447, 4565, 4566, 4567]"
4211,"[3968, 3972, 4088, 4093, 4094, 4209, 4213, 4214, 4327, 4328, 4329, 4330, 4333, 4446, 4447, 4450, 4566, 4567]"
4328,"[3968, 4087, 4088, 4206, 4207, 4209, 4326, 4327, 4328, 4329, 4330, 4444, 4445, 4446, 4447, 4564, 4565, 4566, 4567, 4685]"
4446,"[4088, 4207, 4209, 4326, 4327, 4328, 4329, 4330, 4444, 4445, 4446, 4447, 4564, 4565, 4566, 4567, 4685, 4686, 4802]"
4447,"[4209, 4326, 4327, 4328, 4329, 4330, 4444, 4445, 4446, 4447, 4450, 4564, 4565, 4566, 4567, 4569, 4685, 4686, 4687, 4802, 4803]"
4448,"[4209, 4213, 4327, 4328, 4329, 4330, 4333, 4445, 4446, 4447, 4450, 4564, 4565, 4566, 4567, 4569, 4570, 4685, 4686, 4687, 4688, 4802, 4803, 4804]"
4450,"[4093, 4094, 4213, 4214, 4329, 4330, 4333, 4335, 4447, 4450, 4452, 4453, 4566, 4567, 4569, 4570, 4571, 4572, 4686, 4687, 4688, 4689, 4804, 4805, 4806]"
4547,"[4311, 4428, 4429, 4430]"
4548,"[4311, 4313, 4428, 4429, 4430]"
4549,"[4311, 4313, 4428, 4429, 4430]"
4550,"[4311, 4313, 4428, 4429, 4430]"
4551,"[4313, 4429, 4430, 4435]"
4552,"[4197, 4313, 4317, 4430, 4435, 4555]"
4565,"[4209, 4326, 4327, 4328, 4329, 4330, 4444, 4445, 4446, 4447, 4564, 4565, 4566, 4567, 4685, 4686, 4687, 4802, 4803, 4910]"
4566,"[4209, 4327, 4328, 4329, 4330, 4444, 4445, 4446, 4447, 4450, 4564, 4565, 4566, 4567, 4569, 4685, 4686, 4687, 4688, 4802, 4803, 4804, 4910, 4911]"
4567,"[4328, 4329, 4330, 4445, 4446, 4447, 4450, 4564, 4565, 4566, 4567, 4569, 4570, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4910, 4911, 4912]"
4667,"[4311, 4428, 4429, 4430]"
4668,"[4311, 4313, 4428, 4429, 4430]"
4669,"[4313, 4429, 4430]"
4670,"[4313, 4430]"
4671,"[4435, 4555, 4898]"
4673,"[4317, 4435, 4555, 4898, 4899]"
4674,"[4317, 4319, 4435, 4438, 4555, 4898, 4899, 5007]"
4685,"[4328, 4329, 4330, 4445, 4446, 4447, 4564, 4565, 4566, 4567, 4569, 4685, 4686, 4687, 4688, 4802, 4803, 4804, 4805, 4910, 4911, 4912, 5017, 5018]"
4686,"[4329, 4330, 4446, 4447, 4450, 4564, 4565, 4566, 4567, 4569, 4570, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4910, 4911, 4912, 4913, 5017, 5018, 5019]"
4687,"[4330, 4447, 4450, 4565, 4566, 4567, 4569, 4570, 4571, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4807, 4910, 4911, 4912, 4913, 4914, 5018, 5019, 5020]"
4790,"[4435, 4555, 4898, 4899, 5007]"
4791,"[4435, 4555, 4898, 4899, 5007]"
4792,"[4438, 4555, 4898, 4899, 5007, 5009]"
4803,"[4447, 4565, 4566, 4567, 4569, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4910, 4911, 4912, 4913, 4914, 5017, 5018, 5019, 5020]"
4804,"[4450, 4566, 4567, 4569, 4570, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4807, 4910, 4911, 4912, 4913, 4914, 4915, 5017, 5018, 5019, 5020, 5126]"
4899,"[4555, 4898, 4899, 5007, 5009, 5218]"
4900,"[4555, 4898, 4899, 5007, 5009, 5010, 5115, 5218]"
4901,"[4898, 4899, 5007, 5009, 5010, 5115, 5221]"
4911,"[4566, 4567, 4685, 4686, 4687, 4688, 4802, 4803, 4804, 4805, 4806, 4910, 4911, 4912, 4913, 4914, 5017, 5018, 5019, 5020, 5126, 5230, 5231]"
4912,"[4567, 4569, 4685, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4807, 4910, 4911, 4912, 4913, 4914, 4915, 5017, 5018, 5019, 5020, 5126, 5230, 5231, 5232]"
4913,"[4569, 4570, 4686, 4687, 4688, 4689, 4802, 4803, 4804, 4805, 4806, 4807, 4808, 4910, 4911, 4912, 4913, 4914, 4915, 5017, 5018, 5019, 5020, 5023, 5126, 5231, 5232]"
4915,"[4570, 4571, 4572, 4688, 4689, 4804, 4805, 4806, 4807, 4808, 4809, 4912, 4913, 4914, 4915, 4917, 5019, 5020, 5023, 5024, 5126, 5130]"
5006,"[4898, 4899, 5007, 5009, 5115, 5218, 5323, 5324]"
5007,"[4898, 4899, 5007, 5009, 5010, 5115, 5218, 5221, 5323, 5324]"
5008,"[4898, 4899, 5007, 5009, 5010, 5115, 5218, 5221, 5222, 5324, 5326]"
5018,"[4685, 4686, 4687, 4802, 4803, 4804, 4805, 4910, 4911, 4912, 4913, 4914, 5017, 5018, 5019, 5020, 5126, 5230, 5231, 5232, 5334, 5335, 5336]"
5019,"[4686, 4687, 4688, 4802, 4803, 4804, 4805, 4806, 4910, 4911, 4912, 4913, 4914, 4915, 5017, 5018, 5019, 5020, 5126, 5230, 5231, 5232, 5335, 5336, 5337]"
5020,"[4687, 4688, 4689, 4803, 4804, 4805, 4806, 4807, 4910, 4911, 4912, 4913, 4914, 4915, 5017, 5018, 5019, 5020, 5023, 5126, 5230, 5231, 5232, 5336, 5337]"
5022,"[4689, 4805, 4806, 4807, 4808, 4809, 4912, 4913, 4914, 4915, 4917, 5019, 5020, 5023, 5024, 5126, 5130, 5232, 5236]"
5112,"[4898, 4899, 5007, 5009, 5115, 5218, 5221, 5323, 5324, 5427, 5428]"
5113,"[4898, 4899, 5007, 5009, 5010, 5115, 5218, 5221, 5222, 5323, 5324, 5326, 5427, 5428]"
5114,"[4899, 5007, 5009, 5010, 5115, 5218, 5221, 5222, 5323, 5324, 5326, 5428, 5430]"
5124,"[4802, 4803, 4804, 4910, 4911, 4912, 4913, 5017, 5018, 5019, 5020, 5126, 5230, 5231, 5232, 5333, 5334, 5335, 5336, 5337, 5438, 5439]"
5125,"[4803, 4804, 4805, 4910, 4911, 4912, 4913, 4914, 5017, 5018, 5019, 5020, 5126, 5230, 5231, 5232, 5334, 5335, 5336, 5337, 5439]"
5126,"[4804, 4805, 4806, 4911, 4912, 4913, 4914, 4915, 5017, 5018, 5019, 5020, 5023, 5126, 5230, 5231, 5232, 5335, 5336, 5337]"
5127,"[4805, 4806, 4807, 4912, 4913, 4914, 4915, 5018, 5019, 5020, 5023, 5024, 5126, 5130, 5230, 5231, 5232, 5236, 5336, 5337]"
5128,"[4806, 4807, 4808, 4913, 4914, 4915, 4917, 5019, 5020, 5023, 5024, 5126, 5130, 5231, 5232, 5236, 5237, 5337]"
5217,"[4898, 4899, 5007, 5218, 5323, 5324, 5427, 5428]"
5218,"[4898, 4899, 5007, 5115, 5218, 5221, 5323, 5324, 5326, 5427, 5428, 5530]"
5219,"[4899, 5007, 5009, 5115, 5218, 5221, 5222, 5323, 5324, 5326, 5427, 5428, 5430, 5530, 5531]"
5231,"[4911, 4912, 4913, 5017, 5018, 5019, 5020, 5126, 5230, 5231, 5232, 5333, 5334, 5335, 5336, 5337, 5438, 5439, 5541, 5542]"
5232,"[4912, 4913, 4914, 5018, 5019, 5020, 5126, 5230, 5231, 5232, 5334, 5335, 5336, 5337, 5439, 5542]"
5233,"[4913, 4914, 4915, 5019, 5020, 5023, 5126, 5130, 5230, 5231, 5232, 5236, 5335, 5336, 5337]"
5234,"[4914, 4915, 5020, 5023, 5024, 5126, 5130, 5231, 5232, 5236, 5237, 5336, 5337, 5342, 5445, 5546]"
5322,"[5218, 5323, 5324, 5427, 5428, 5530]"
5323,"[5007, 5218, 5221, 5323, 5324, 5326, 5427, 5428, 5430, 5530, 5531]"
5324,"[5007, 5115, 5218, 5221, 5222, 5323, 5324, 5326, 5427, 5428, 5430, 5431, 5530, 5531, 5532]"
5326,"[5009, 5010, 5115, 5218, 5221, 5222, 5323, 5324, 5326, 5329, 5427, 5428, 5430, 5431, 5432, 5433, 5530, 5531, 5532, 5533, 5534, 5633]"
5327,"[5009, 5010, 5115, 5221, 5222, 5225, 5324, 5326, 5329, 5330, 5428, 5430, 5431, 5432, 5433, 5434, 5531, 5532, 5533, 5534, 5535, 5633, 5634]"
5335,"[5017, 5018, 5019, 5126, 5230, 5231, 5232, 5332, 5333, 5334, 5335, 5336, 5337, 5436, 5438, 5439, 5539, 5541, 5542, 5640, 5641]"
5336,"[5018, 5019, 5020, 5126, 5230, 5231, 5232, 5333, 5334, 5335, 5336, 5337, 5438, 5439, 5541, 5542, 5641]"
5337,"[5019, 5020, 5126, 5230, 5231, 5232, 5334, 5335, 5336, 5337, 5438, 5439, 5541, 5542]"
5338,"[5020, 5126, 5230, 5231, 5232, 5236, 5335, 5336, 5337, 5439, 5445, 5542, 5546]"
5339,"[5023, 5126, 5130, 5231, 5232, 5236, 5237, 5336, 5337, 5342, 5445, 5446, 5546, 5547]"
5426,"[5218, 5323, 5324, 5427, 5428, 5530, 5531]"
5427,"[5218, 5323, 5324, 5326, 5427, 5428, 5430, 5530, 5531, 5532]"
5428,"[5218, 5221, 5323, 5324, 5326, 5427, 5428, 5430, 5431, 5530, 5531, 5532, 5533]"
5429,"[5115, 5218, 5221, 5222, 5323, 5324, 5326, 5427, 5428, 5430, 5431, 5432, 5530, 5531, 5532, 5533, 5534, 5633]"
5430,"[5115, 5221, 5222, 5323, 5324, 5326, 5329, 5427, 5428, 5430, 5431, 5432, 5433, 5530, 5531, 5532, 5533, 5534, 5535, 5633, 5634, 5733]"
5439,"[5230, 5231, 5232, 5332, 5333, 5334, 5335, 5336, 5337, 5436, 5438, 5439, 5538, 5539, 5541, 5542, 5639, 5640, 5641, 5740, 5742]"
5441,"[5126, 5230, 5231, 5232, 5334, 5335, 5336, 5337, 5438, 5439, 5541, 5542, 5546, 5641, 5742]"
5442,"[5126, 5231, 5232, 5335, 5336, 5337, 5439, 5445, 5541, 5542, 5546, 5547]"
5529,"[5218, 5323, 5324, 5427, 5428, 5430, 5530, 5531, 5532]"
5530,"[5218, 5323, 5324, 5326, 5427, 5428, 5430, 5431, 5530, 5531, 5532, 5533, 5633]"
5531,"[5221, 5323, 5324, 5326, 5427, 5428, 5430, 5431, 5432, 5530, 5531, 5532, 5533, 5534, 5633, 5634, 5733]"
5543,"[5231, 5232, 5335, 5336, 5337, 5438, 5439, 5541, 5542, 5546, 5640, 5641, 5742, 5841, 5842]"
5544,"[5232, 5336, 5337, 5439, 5445, 5541, 5542, 5546, 5547, 5641, 5647, 5742, 5842]"
5630,"[5323, 5324, 5427, 5428, 5430, 5530, 5531, 5532, 5533, 5633, 5733]"
5643,"[5336, 5337, 5439, 5541, 5542, 5546, 5640, 5641, 5740, 5742, 5841, 5842]"
5752,"[5449, 5450, 5451, 5550, 5551, 5552, 5553, 5649, 5650, 5652, 5653, 5654, 5749, 5750, 5753, 5754, 5755, 5848, 5849, 5850, 5854, 5948, 5949, 5951, 6048, 6049, 6050]"
5840,"[5541, 5542, 5639, 5640, 5641, 5738, 5739, 5740, 5742, 5837, 5838, 5839, 5841, 5842, 5936, 5937, 5939, 6039, 6040, 6135, 6136, 6137]"
5944,"[5647, 5747, 5748, 5842, 5845, 5846, 5848, 6040, 6041, 6042]"
6036,"[5738, 5739, 5740, 5836, 5837, 5838, 5839, 5934, 5935, 5936, 5937, 5939, 6034, 6035, 6039, 6134, 6135, 6136, 6137, 6327, 6328]"
6037,"[5739, 5740, 5837, 5838, 5839, 5841, 5935, 5936, 5937, 5939, 6034, 6035, 6039, 6040, 6134, 6135, 6136, 6137, 6138, 6327, 6328]"
6235,"[6039, 6040, 6041, 6042, 6135, 6136, 6137, 6138, 6328, 6426, 6522]"
6236,"[6039, 6040, 6041, 6042, 6136, 6137, 6138, 6426, 6430, 6525]"
6331,"[6039, 6040, 6041, 6136, 6137, 6138, 6328, 6426, 6430, 6522, 6525, 6618, 6620]"
6427,"[6137, 6138, 6328, 6426, 6430, 6522, 6525, 6526, 6618, 6620, 6715, 6716]"
6721,"[6527, 6528, 6529, 6530, 6531, 6622, 6624, 6625, 6626, 6627, 6628, 6721, 6723, 6815, 6817, 6818, 6912, 6914, 6915, 7013]"
6816,"[6528, 6529, 6530, 6624, 6625, 6626, 6627, 6721, 6723, 6815, 6817, 6818, 6912, 6914, 6915, 7013]"
6817,"[6529, 6530, 6531, 6624, 6625, 6626, 6627, 6628, 6721, 6723, 6815, 6817, 6818, 6912, 6914, 6915, 7013]"
6818,"[6530, 6531, 6532, 6625, 6626, 6627, 6628, 6629, 6721, 6723, 6815, 6817, 6818, 6821, 6914, 6915, 6919, 7013, 7017]"
6819,"[6531, 6532, 6533, 6626, 6627, 6628, 6629, 6630, 6721, 6723, 6727, 6817, 6818, 6821, 6914, 6915, 6919, 7017, 7018]"
6820,"[6532, 6533, 6534, 6627, 6628, 6629, 6630, 6631, 6723, 6727, 6817, 6818, 6821, 6915, 6919, 7017, 7018]"
6915,"[6625, 6626, 6627, 6721, 6723, 6815, 6817, 6818, 6912, 6914, 6915, 7013, 7017, 7221, 7222]"
6916,"[6626, 6627, 6628, 6721, 6723, 6815, 6817, 6818, 6821, 6914, 6915, 6919, 7013, 7017, 7018, 7221, 7222]"
6917,"[6627, 6628, 6629, 6723, 6817, 6818, 6821, 6914, 6915, 6919, 7013, 7017, 7018, 7222]"
6918,"[6628, 6629, 6630, 6723, 6727, 6817, 6818, 6821, 6915, 6919, 7017, 7018]"
6919,"[6629, 6630, 6631, 6727, 6818, 6821, 6919, 6922, 7017, 7018]"
6920,"[6630, 6631, 6727, 6729, 6821, 6825, 6919, 6922, 7017, 7018, 7022]"
6921,"[6631, 6727, 6729, 6821, 6825, 6826, 6919, 6922, 6924, 7017, 7018, 7022, 7023, 7124]"
7014,"[6721, 6723, 6815, 6817, 6818, 6912, 6914, 6915, 7013, 7017, 7113, 7219, 7221, 7222]"
7015,"[6723, 6817, 6818, 6914, 6915, 6919, 7013, 7017, 7018, 7221, 7222, 7331]"
7016,"[6723, 6817, 6818, 6821, 6914, 6915, 6919, 7013, 7017, 7018, 7221, 7222, 7331]"
7017,"[6818, 6821, 6915, 6919, 7017, 7018, 7222, 7331]"
7018,"[6727, 6821, 6919, 6922, 7017, 7018, 7334]"
7019,"[6727, 6821, 6919, 6922, 7017, 7018, 7022, 7124, 7334]"
7020,"[6727, 6729, 6821, 6825, 6919, 6922, 6924, 7017, 7018, 7022, 7023, 7124, 7125, 7334]"
7021,"[6729, 6825, 6826, 6919, 6922, 6924, 7018, 7022, 7023, 7024, 7124, 7125]"
7022,"[6729, 6731, 6825, 6826, 6922, 6924, 6926, 7022, 7023, 7024, 7025, 7124, 7125]"
7023,"[6731, 6732, 6825, 6826, 6828, 6922, 6924, 6926, 7022, 7023, 7024, 7025, 7026, 7124, 7125]"
7024,"[6731, 6732, 6825, 6826, 6828, 6829, 6922, 6924, 6926, 7022, 7023, 7024, 7025, 7026, 7124, 7125]"
7116,"[6817, 6818, 6914, 6915, 7013, 7017, 7113, 7218, 7219, 7221, 7222, 7331]"
7117,"[6817, 6818, 6914, 6915, 7013, 7017, 7018, 7219, 7221, 7222, 7331, 7442]"
7118,"[6818, 6915, 6919, 7013, 7017, 7018, 7221, 7222, 7331, 7442]"
7120,"[6821, 6919, 7017, 7018, 7222, 7331, 7334, 7444, 7445]"
7121,"[6821, 6919, 6922, 7017, 7018, 7022, 7124, 7334, 7444, 7445]"
7122,"[6919, 6922, 7017, 7018, 7022, 7023, 7124, 7125, 7334, 7445]"
7123,"[6825, 6922, 6924, 7018, 7022, 7023, 7024, 7124, 7125, 7334]"
7124,"[6825, 6826, 6922, 6924, 7022, 7023, 7024, 7025, 7124, 7125]"
7125,"[6825, 6826, 6922, 6924, 6926, 7022, 7023, 7024, 7025, 7026, 7124, 7125]"
7126,"[6826, 6828, 6924, 6926, 7022, 7023, 7024, 7025, 7026, 7124, 7125]"
7127,"[6828, 6829, 6924, 6926, 7022, 7023, 7024, 7025, 7026, 7028, 7124, 7125]"
7128,"[6828, 6829, 6830, 6926, 7023, 7024, 7025, 7026, 7028, 7125, 7236, 7343]"
7226,"[6919, 7017, 7018, 7124, 7331, 7334, 7444, 7445, 7558]"
7227,"[6922, 7018, 7022, 7124, 7125, 7334, 7444, 7445]"
7228,"[6922, 7022, 7023, 7124, 7125, 7334, 7445, 7562]"
7229,"[6922, 6924, 7022, 7023, 7024, 7124, 7125, 7334, 7562]"
7230,"[6924, 7022, 7023, 7024, 7025, 7124, 7125, 7562]"
7231,"[6924, 6926, 7022, 7023, 7024, 7025, 7026, 7124, 7125]"
7232,"[6926, 7023, 7024, 7025, 7026, 7124, 7125, 7343]"
7559,"[7334, 7442, 7444, 7445, 7558, 7562, 7674, 7675, 7676, 7798, 7801]"
7694,"[7352, 7354, 7462, 7463, 7464, 7575, 7576, 7577, 7578, 7581, 7691, 7693, 7695, 7816]"
8054,"[7667, 7920, 7925, 8052, 8055, 8187, 8188, 8189, 8190, 8329, 8330, 8331, 8333, 8474, 8476]"
8238,"[7842, 8103, 8235, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673]"
8239,"[7842, 8103, 8106, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673]"
8240,"[7842, 7844, 7974, 8103, 8106, 8238, 8239, 8240, 8241, 8381, 8382, 8523]"
8241,"[7844, 7845, 7974, 8103, 8106, 8238, 8239, 8240, 8241, 8381, 8382]"
8379,"[8103, 8235, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673]"
8380,"[8103, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673]"
8381,"[8103, 8106, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673]"
8382,"[7974, 8103, 8106, 8238, 8239, 8240, 8241, 8381, 8382, 8523]"
8523,"[8103, 8238, 8239, 8240, 8381, 8382, 8523, 8673, 8982]"
8524,"[8103, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673, 8982]"
8525,"[8103, 8238, 8239, 8240, 8241, 8381, 8382, 8523, 8673, 8982]"
8526,"[8106, 8239, 8240, 8241, 8381, 8382, 8523, 8673]"
8742,"[8896, 8899, 8900, 9051, 9054, 9205, 9206, 9207]"
8964,"[8505, 8654, 8655, 8806, 8807, 8808, 8809, 8961, 8963, 8964, 9117, 9118, 9119, 9271, 9273, 9274, 9425, 9427]"
9104,"[8792, 8795, 8796, 9105, 9106, 9107, 9255, 9257, 9259, 9260, 9261, 9411, 9412, 9413, 9563, 9564, 9565]"
9252,"[8789, 9099, 9100, 9249, 9254, 9255, 9406, 9408, 9556, 9557, 9558, 9710, 9712]"
9395,"[8932, 8933, 8934, 9086, 9087, 9088, 9089, 9090, 9239, 9240, 9241, 9242, 9243, 9244, 9394, 9396, 9546, 9547, 9548, 9550, 9551, 9858, 9859, 9860]"
9396,"[8933, 8934, 8935, 9087, 9088, 9089, 9090, 9091, 9240, 9241, 9242, 9243, 9244, 9394, 9396, 9546, 9547, 9548, 9550, 9551, 9552, 9704, 9859, 9860]"
9397,"[8934, 8935, 8936, 9088, 9089, 9090, 9091, 9241, 9242, 9243, 9244, 9247, 9394, 9396, 9400, 9547, 9548, 9550, 9551, 9552, 9553, 9704, 9705, 9860, 9862]"
9398,"[8935, 8936, 8937, 9089, 9090, 9091, 9242, 9243, 9244, 9247, 9396, 9400, 9401, 9548, 9550, 9551, 9552, 9553, 9554, 9704, 9705, 9862, 9863]"
9403,"[9247, 9249, 9400, 9401, 9406, 9553, 9554, 9556, 9557, 9558, 9707, 9708, 9709, 9710, 9866, 9867]"
9549,"[9088, 9089, 9090, 9241, 9242, 9243, 9244, 9394, 9396, 9546, 9547, 9548, 9550, 9551, 9552, 9704, 9705, 9858, 9859, 9860, 9862, 10019, 10020, 10021]"
